id_proposta,id_cliente,codigo_fipe,score_credito,renda_mensal,percentual_entrada
200001,25795,005417-8,677,18029.03,0.28
200002,10860,035122-9,600,25213.59,0.62
200003,86820,004010-0,406,24321.4,0.63
200004,64886,080023-6,823,6157.38,0.7
200005,16265,073008-4,371,20480.27,0.3
200006,92386,011105-8,989,21867.57,0.62
200007,47194,031042-5,523,11844.82,0.42
200008,97498,028025-9,641,23584.4,0.26
200009,54131,015170-0,313,12554.8,0.48
200010,70263,001369-2,578,29780.91,0.61
200011,26023,008155-8,761,3116.85,0.36
200012,51090,009211-8,540,20791.58,0.26
200013,77221,025046-5,507,6179.03,0.57
200014,74820,021126-5,973,5863.3,0.29
200015,10769,003429-0,420,28104.85,0.54
200016,69735,025327-8,679,23426.66,0.37
200017,72955,009224-0,974,5854.45,0.35
200018,74925,021287-3,772,6262.31,0.26
200019,77969,005426-7,480,14881.89,0.29
200020,15311,018090-4,441,16681.44,0.35
200021,93104,001312-9,783,17760.67,0.69
200022,63707,003469-0,915,14599.71,0.55
200023,95305,023153-3,366,13815.06,0.58
200024,38693,005325-2,785,27903.97,0.45
200025,81932,035059-1,866,17581.43,0.48
200026,35658,009087-5,597,17007.95,0.5
200027,94478,010013-7,385,11340.58,0.37
200028,28431,016073-3,644,25515.9,0.55
200029,12747,023134-7,965,23638.09,0.52
200030,69150,034016-2,454,13156.91,0.31
200031,75725,011247-0,388,5063.68,0.14
200032,94654,004167-0,938,12434.35,0.18
200033,45773,015069-0,648,28183.97,0.27
200034,77435,018048-3,404,3513.46,0.41
200035,66886,001273-4,318,27966.97,0.18
200036,76803,033129-5,678,17568.92,0.39
200037,41551,035119-9,869,19033.59,0.63
200038,21394,073017-3,561,5235.67,0.36
200039,79092,016061-0,343,6348.87,0.37
200040,13890,011078-7,812,24320.96,0.46
200041,51606,015122-0,524,11473.84,0.62
200042,90038,015037-1,969,9091.75,0.3
200043,97313,021490-6,765,7605.14,0.63
200044,20627,014042-2,478,6559.25,0.65
200045,18792,004557-8,874,12366.51,0.3
200046,83969,016019-9,656,19029.28,0.29
200047,53001,011223-2,328,14864.92,0.6
200048,86552,001388-9,379,4055.97,0.19
200049,33897,008285-6,827,19005.85,0.48
200050,78148,005017-2,729,19752.4,0.23
200051,33483,078021-9,963,23594.53,0.45
200052,58555,021457-4,409,21331.65,0.49
200053,27159,001386-2,342,15656.9,0.51
200054,90077,025150-0,634,28571.31,0.61
200055,45920,018061-0,847,4804.44,0.32
200056,77121,015058-4,826,14406.04,0.23
200057,79479,003003-1,762,14035.78,0.14
200058,99475,011121-0,337,11844.2,0.66
200059,29457,005200-0,960,28135.22,0.52
200060,76557,002224-1,929,26404.88,0.29
200061,87189,029039-4,772,26587.0,0.19
200062,88953,024105-9,804,5558.49,0.45
200063,62995,025248-4,452,11509.39,0.19
200064,50757,008069-1,990,15766.85,0.23
200065,19692,001487-7,317,22884.32,0.53
200066,55758,004331-1,815,13822.8,0.14
200067,82409,011200-3,450,27895.4,0.31
200068,81211,060002-4,452,8442.73,0.4
200069,75697,011082-5,457,7695.81,0.2
200070,47065,005308-2,522,14687.37,0.3
200071,42606,071002-4,513,15248.52,0.56
200072,21534,031045-0,505,5052.24,0.41
200073,50397,001109-6,412,10645.48,0.58
200074,11016,005426-7,473,19311.42,0.47
200075,99789,018096-3,337,11913.83,0.13
200076,65591,034021-9,892,11743.03,0.15
200077,99812,001007-3,357,26172.62,0.18
200078,33247,022031-0,599,5740.69,0.57
200079,34300,010030-7,400,16819.56,0.21
200080,84065,009025-5,844,26142.62,0.54
200081,92798,004281-1,550,3304.45,0.16
200082,19268,015004-5,878,18842.0,0.67
200083,96807,005042-3,939,14561.44,0.58
200084,22185,021311-0,554,9126.1,0.5
200085,73704,004370-2,772,8273.71,0.6
200086,96779,001276-9,667,11747.18,0.48
200087,49099,002052-4,308,10718.72,0.29
200088,18571,003023-6,953,27469.33,0.12
200089,48044,001094-4,405,10505.01,0.41
200090,61214,003352-9,579,25580.88,0.15
200091,71228,005088-1,724,25129.48,0.57
200092,58984,057031-1,840,6104.34,0.2
200093,50774,015206-4,386,6960.6,0.23
200094,12568,003224-7,603,19224.88,0.36
200095,72592,015009-6,965,12458.66,0.3
200096,77563,021437-0,769,3483.65,0.21
200097,12695,033202-0,962,28446.32,0.22
200098,58190,003090-2,906,12801.62,0.55
200099,15258,023174-6,487,21466.61,0.58
200100,97538,033117-1,611,4010.63,0.29
200101,49504,004301-0,944,17392.32,0.37
200102,43159,009178-2,793,24951.43,0.23
200103,23986,023033-2,420,21106.74,0.51
200104,71858,001042-1,561,26075.13,0.11
200105,22666,004244-7,492,25931.22,0.51
200106,48660,021553-8,844,22041.01,0.11
200107,13561,016023-7,640,14486.05,0.58
200108,36854,023065-0,374,15963.2,0.57
200109,74505,016021-0,793,22150.1,0.34
200110,62251,304004-6,364,27488.89,0.57
200111,32662,008029-2,918,19101.29,0.28
200112,18392,004035-5,925,22353.85,0.41
200113,40535,017012-7,953,25487.1,0.53
200114,88603,009167-7,686,5348.46,0.54
200115,62256,001402-8,314,14343.27,0.56
200116,99135,003251-4,456,19539.41,0.43
200117,45222,017018-6,928,23082.84,0.38
200118,87373,032002-1,481,27638.82,0.3
200119,89575,004492-0,987,10837.51,0.32
200120,94651,001289-0,317,17884.35,0.24
200121,73335,022094-9,309,28511.0,0.58
200122,20965,027061-0,490,18572.88,0.39
200123,34538,024071-0,686,14802.09,0.5
200124,80592,015167-0,693,15522.21,0.21
200125,18110,035159-8,932,29158.94,0.52
200126,89309,005021-0,982,10338.73,0.7
200127,37266,005254-0,391,4797.07,0.11
200128,62992,096001-2,939,5289.81,0.14
200129,92948,001064-2,594,15112.55,0.47
200130,16910,014100-3,672,10767.87,0.32
200131,10206,021229-6,852,25739.8,0.57
200132,97054,003354-5,952,29470.52,0.59
200133,97897,076001-3,773,19388.4,0.43
200134,33419,001065-0,540,29547.94,0.37
200135,60636,018031-9,868,11951.95,0.36
200136,60015,033134-1,559,21161.32,0.25
200137,64268,004134-3,461,25015.2,0.42
200138,97939,033232-1,573,23226.76,0.48
200139,28141,009269-0,577,14821.37,0.55
200140,90356,003431-2,372,11107.55,0.34
200141,81910,035075-3,397,5887.28,0.65
200142,66044,045002-2,980,9362.69,0.25
200143,77214,016019-9,893,17715.86,0.53
200144,43827,009255-0,449,10564.4,0.27
200145,65820,089021-9,724,4519.92,0.13
200146,72623,029157-9,422,5674.32,0.69
200147,91734,008055-1,499,12837.11,0.43
200148,85450,005357-0,599,26820.44,0.29
200149,32299,005110-1,487,16853.12,0.12
200150,53585,004402-4,839,22377.95,0.28
200151,74044,009166-9,886,17822.71,0.59
200152,52557,012013-8,545,26838.74,0.27
200153,59080,022148-1,695,10643.65,0.42
200154,12693,002211-0,414,28151.8,0.44
200155,79163,021263-6,328,5771.95,0.5
200156,35939,079003-6,993,26107.42,0.26
200157,58925,031031-0,479,11619.16,0.17
200158,52941,018037-8,467,28150.47,0.12
200159,31834,024150-4,386,12669.36,0.56
200160,28047,021484-1,606,17494.44,0.29
200161,36105,009220-7,964,20052.94,0.28
200162,85766,035127-0,828,23254.59,0.66
200163,25707,005118-7,306,8596.97,0.41
200164,31976,009130-8,741,21704.56,0.45
200165,54262,018093-9,369,15290.25,0.59
200166,33776,016053-9,906,8626.1,0.29
200167,40080,003450-9,627,28422.25,0.18
200168,76842,002225-0,855,24568.93,0.55
200169,71373,033138-4,351,13649.87,0.54
200170,16776,021180-0,842,17136.31,0.46
200171,65016,089020-0,601,20545.23,0.23
200172,19474,095008-4,991,9815.33,0.43
200173,68053,005091-1,529,10265.66,0.42
200174,31959,003234-4,328,11967.34,0.26
200175,15530,025216-6,752,3817.15,0.34
200176,13748,071027-0,911,27173.5,0.39
200177,23545,005009-1,814,28076.43,0.62
200178,76199,003219-0,624,4285.22,0.39
200179,44766,008157-4,883,23266.45,0.42
200180,83530,021514-7,735,26959.07,0.43
200181,71087,004371-0,336,15058.36,0.68
200182,78840,011140-6,887,3510.36,0.35
200183,64384,021458-2,701,27244.81,0.51
200184,61005,020014-0,390,14897.39,0.52
200185,56576,003135-6,882,4577.73,0.36
200186,49353,029092-0,858,23674.83,0.61
200187,72003,025090-2,531,21626.92,0.37
200188,93211,005249-3,413,20720.59,0.48
200189,62733,009249-5,456,11361.3,0.28
200190,75318,001214-9,937,17409.79,0.11
200191,99474,005256-6,468,4703.32,0.58
200192,33664,033189-9,452,26025.48,0.33
200193,77172,004304-4,374,18670.91,0.59
200194,95616,033226-7,988,11267.34,0.39
200195,36736,003291-3,858,12092.98,0.25
200196,10854,002153-9,707,14146.66,0.68
200197,48623,001056-1,764,7977.86,0.33
200198,17392,002186-5,999,19586.66,0.25
200199,65680,001234-3,422,28391.35,0.67
200200,56717,002130-0,630,28641.19,0.27
200201,97092,021315-2,841,6513.26,0.41
200202,60859,004226-9,439,11118.59,0.59
200203,36309,033025-6,442,25426.68,0.17
200204,97455,022105-8,953,24063.63,0.28
200205,73734,022178-3,435,14601.24,0.2
200206,80467,085008-0,923,15038.18,0.54
200207,62662,021046-3,603,19062.73,0.26
200208,22688,073015-7,860,8372.12,0.49
200209,35342,307002-6,837,22539.38,0.56
200210,47157,021529-5,739,17669.57,0.12
200211,77863,015012-6,979,7675.78,0.5
200212,62083,004236-6,681,22882.06,0.19
200213,75733,003168-2,322,26179.56,0.12
200214,99045,022028-0,488,4760.47,0.49
200215,44698,001187-8,826,19448.2,0.33
200216,90623,034007-3,812,12456.24,0.15
200217,32671,011223-2,807,21937.09,0.19
200218,35184,086015-8,509,3135.87,0.67
200219,52107,017010-0,860,26037.09,0.3
200220,96202,096008-0,756,14747.72,0.43
200221,61663,029143-9,936,29658.03,0.18
200222,25708,003482-7,621,19255.18,0.17
200223,59811,016073-3,861,7264.66,0.37
200224,12811,004434-2,632,18331.58,0.66
200225,66250,021380-2,313,16561.19,0.44
200226,82082,004515-2,500,22465.15,0.14
200227,44754,025007-4,837,14041.97,0.3
200228,21411,071018-0,779,5753.68,0.21
200229,12911,003460-6,701,21618.75,0.21
200230,77270,029143-9,768,29726.7,0.27
200231,93763,025220-4,586,13059.29,0.22
200232,18680,015014-2,515,3417.96,0.56
200233,94896,023185-1,589,8052.15,0.17
200234,93879,089019-7,597,25395.49,0.56
200235,81295,008179-5,624,26919.87,0.49
200236,98614,024052-4,843,18086.32,0.38
200237,21111,009164-2,838,26201.87,0.24
200238,47504,002184-9,524,18722.29,0.17
200239,11802,021207-5,510,15402.46,0.64
200240,18155,014008-2,300,24263.97,0.66
200241,83656,090013-3,536,14798.34,0.53
200242,49384,008061-6,675,4153.2,0.58
200243,57254,024243-8,623,7690.7,0.29
200244,31918,022143-0,518,6251.62,0.36
200245,95981,008243-0,482,3612.87,0.69
200246,70713,023044-8,533,8943.98,0.59
200247,40306,039002-0,386,11399.49,0.15
200248,26646,005479-8,879,24368.5,0.33
200249,56843,025237-9,447,13832.63,0.34
200250,26371,021065-0,951,29707.46,0.34
200251,87371,089057-0,394,9472.19,0.46
200252,12049,008227-9,884,9344.61,0.2
200253,41616,021297-0,979,20315.98,0.44
200254,30932,021044-7,729,26682.66,0.18
200255,39855,024174-1,457,23426.49,0.41
200256,71434,023152-5,934,26686.36,0.31
200257,82694,031011-5,449,22663.51,0.27
200258,53016,004038-0,306,5325.63,0.46
200259,17400,033163-5,847,14968.51,0.62
200260,52642,080018-0,508,6699.8,0.15
200261,25151,089033-2,820,28206.7,0.41
200262,61407,024218-7,598,9889.3,0.23
200263,76690,033231-3,431,16175.07,0.65
200264,14499,001264-5,337,5667.65,0.21
200265,16295,018044-0,893,21730.62,0.44
200266,69040,022050-7,752,12975.48,0.68
200267,22183,002087-7,557,17783.11,0.4
200268,39299,071059-8,457,3776.67,0.39
200269,22874,025339-1,471,4486.12,0.23
200270,42711,025198-4,314,22835.94,0.2
200271,15539,099002-7,510,21543.12,0.62
200272,63351,008299-6,723,3302.14,0.1
200273,71267,011064-7,481,29550.29,0.7
200274,58354,005527-1,735,27391.67,0.17
200275,12557,025033-3,967,3129.75,0.26
200276,48360,003328-6,550,14057.4,0.15
200277,92018,024271-3,564,7547.54,0.25
200278,12200,003085-6,947,6977.88,0.68
200279,78497,001305-6,470,13082.43,0.54
200280,56975,021083-8,736,10297.44,0.53
200281,31357,004555-1,321,6658.75,0.64
200282,87505,057031-1,810,27876.56,0.15
200283,12869,004230-7,612,7964.91,0.3
200284,71135,015114-9,557,20496.41,0.49
200285,60108,090007-9,424,5639.42,0.42
200286,48467,021382-9,420,16299.96,0.48
200287,33328,021432-9,528,4004.75,0.11
200288,96831,070004-5,566,7503.56,0.19
200289,13987,008232-5,642,13045.68,0.51
200290,68871,024125-3,406,16251.71,0.39
200291,32399,090015-0,482,20602.72,0.68
200292,56214,029108-0,469,7705.03,0.44
200293,96416,009108-1,963,8017.98,0.6
200294,80271,008278-3,309,4722.66,0.45
200295,54064,021185-0,807,7053.87,0.4
200296,80091,033232-1,765,18566.99,0.18
200297,50818,023039-1,728,4877.71,0.23
200298,55525,008100-0,957,6102.16,0.13
200299,29830,015079-7,920,6503.9,0.25
200300,27429,004308-7,382,19746.46,0.65
200301,16893,001198-3,899,17204.53,0.35
200302,89909,001349-8,324,11220.15,0.12
200303,57333,015123-8,595,27899.85,0.49
200304,13436,021143-5,810,23017.13,0.62
200305,84290,022040-0,874,3952.79,0.21
200306,86213,024177-6,490,29669.16,0.47
200307,15895,001174-6,746,17832.5,0.3
200308,29738,027061-0,334,15392.71,0.37
200309,40746,024028-1,455,9761.93,0.38
200310,59377,004519-5,775,15333.31,0.67
200311,58404,022137-6,696,22054.31,0.19
200312,64045,018023-8,916,24560.09,0.37
200313,49790,009088-3,765,23025.81,0.23
200314,15600,004363-0,389,26917.26,0.33
200315,50764,016073-3,555,15045.06,0.29
200316,84543,003252-2,543,22883.83,0.48
200317,55714,005020-2,576,21171.95,0.12
200318,66835,001245-9,611,12871.14,0.26
200319,83744,005268-0,929,8700.19,0.38
200320,66491,005007-5,677,28576.33,0.67
200321,28589,025020-1,448,13002.85,0.41
200322,53484,003198-4,642,3247.25,0.63
200323,92989,073021-1,369,6793.74,0.25
200324,46212,004401-6,874,9862.25,0.29
200325,53525,003460-6,328,19775.87,0.14
200326,57202,005420-8,876,5552.02,0.41
200327,42635,017071-2,948,14808.05,0.4
200328,73208,059002-9,750,22807.19,0.69
200329,43828,005469-0,930,16639.64,0.13
200330,28711,001105-3,579,20098.59,0.58
